Date,Open,High,Low,Close,Adj Close,Volume
2019-08-01,1411.300049,1445.199951,1400.900024,1420.900024,1420.900024,2431
2019-08-02,1448.000000,1448.000000,1432.300049,1445.599976,1445.599976,1873
2019-08-04,1451.199951,1454.599976,1440.400024,1452.199951,1452.199951,496330
2019-08-05,1440.400024,1469.699951,1440.400024,1464.599976,1464.599976,1008
2019-08-06,1469.699951,1475.000000,1457.699951,1472.400024,1472.400024,460
2019-08-07,1473.500000,1509.900024,1473.199951,1507.300049,1507.300049,824
2019-08-08,1498.400024,1508.500000,1492.000000,1497.699951,1497.699951,367
2019-08-09,1506.199951,1507.500000,1495.599976,1496.599976,1496.599976,74
2019-08-11,1509.199951,1512.900024,1505.199951,1512.400024,1512.400024,388952
2019-08-12,1496.000000,1514.900024,1488.099976,1505.300049,1505.300049,257
2019-08-13,1510.400024,1531.400024,1483.699951,1502.199951,1502.199951,672
2019-08-14,1500.000000,1520.500000,1497.000000,1515.900024,1515.900024,328
2019-08-15,1519.800049,1522.699951,1510.599976,1519.599976,1519.599976,87
2019-08-16,1524.599976,1524.599976,1504.699951,1512.500000,1512.500000,1815
2019-08-18,1523.000000,1523.599976,1518.300049,1519.599976,1519.599976,690836
2019-08-19,1507.199951,1507.599976,1492.900024,1500.400024,1500.400024,205
2019-08-20,1497.500000,1506.099976,1497.500000,1504.599976,1504.599976,486
2019-08-21,1504.900024,1505.000000,1498.800049,1504.599976,1504.599976,350
2019-08-22,1495.099976,1497.300049,1493.800049,1497.300049,1497.300049,686
2019-08-23,1493.500000,1527.599976,1493.500000,1526.599976,1526.599976,983
2019-08-25,1545.400024,1565.000000,1545.400024,1557.099976,1557.099976,3271014
2019-08-26,1543.199951,1543.300049,1524.300049,1526.300049,1526.300049,334
2019-08-27,1530.500000,1542.099976,1528.500000,1541.000000,1541.000000,166
2019-08-28,1538.099976,1538.099976,1537.800049,1537.800049,1537.800049,2756
2019-08-29,1537.500000,1549.300049,1519.599976,1526.500000,1526.500000,704
2019-08-30,1524.599976,1530.400024,1516.699951,1519.099976,1519.099976,276
